model,method,causal_structure,evitability,action,permissibility_rating,intention_rating,scenario_id
gpt-4-0613,0shot_util,1,1,1,5,2,0
gpt-4-0613,0shot_util,1,1,1,4,5,1
gpt-4-0613,0shot_util,1,1,1,4,2,2
gpt-4-0613,0shot_util,1,1,1,5,4,3
gpt-4-0613,0shot_util,1,1,1,4,2,4
gpt-4-0613,0shot_util,1,1,1,4,2,5
gpt-4-0613,0shot_util,1,1,1,5,2,6
gpt-4-0613,0shot_util,1,1,1,4,2,7
gpt-4-0613,0shot_util,1,1,1,4,2,8
gpt-4-0613,0shot_util,1,1,1,4,2,9
gpt-4-0613,0shot_util,1,1,1,4,2,10
gpt-4-0613,0shot_util,1,1,1,3,4,11
gpt-4-0613,0shot_util,1,1,1,5,4,12
gpt-4-0613,0shot_util,1,1,1,5,4,13
gpt-4-0613,0shot_util,1,1,1,5,4,14
gpt-4-0613,0shot_util,1,1,1,4,2,15
gpt-4-0613,0shot_util,1,1,1,4,2,16
gpt-4-0613,0shot_util,1,1,1,4,2,17
gpt-4-0613,0shot_util,1,1,1,4,2,18
gpt-4-0613,0shot_util,1,1,1,5,4,19
gpt-4-0613,0shot_util,1,1,1,4,2,20
gpt-4-0613,0shot_util,1,1,1,4,2,21
gpt-4-0613,0shot_util,1,1,1,4,2,22
gpt-4-0613,0shot_util,1,1,1,4,2,23
gpt-4-0613,0shot_util,1,1,1,3,2,24
gpt-4-0613,0shot_util,1,1,1,3,2,25
gpt-4-0613,0shot_util,1,1,1,4,2,26
gpt-4-0613,0shot_util,1,1,1,5,2,27
gpt-4-0613,0shot_util,1,1,1,5,4,28
gpt-4-0613,0shot_util,1,1,1,4,2,29
gpt-4-0613,0shot_util,1,1,1,4,2,30
gpt-4-0613,0shot_util,1,1,1,5,2,31
gpt-4-0613,0shot_util,1,1,1,5,4,32
gpt-4-0613,0shot_util,1,1,1,5,2,33
gpt-4-0613,0shot_util,1,1,1,2,2,34
gpt-4-0613,0shot_util,1,1,1,4,2,35
gpt-4-0613,0shot_util,1,1,1,5,2,36
gpt-4-0613,0shot_util,1,1,1,2,2,37
gpt-4-0613,0shot_util,1,1,1,1,2,38
gpt-4-0613,0shot_util,1,1,1,5,2,39
gpt-4-0613,0shot_util,1,1,1,4,4,40
gpt-4-0613,0shot_util,1,1,1,4,2,41
gpt-4-0613,0shot_util,1,1,1,4,2,42
gpt-4-0613,0shot_util,1,1,1,3,2,43
gpt-4-0613,0shot_util,1,1,1,4,2,44
gpt-4-0613,0shot_util,1,1,1,3,2,45
gpt-4-0613,0shot_util,1,1,1,5,4,46
gpt-4-0613,0shot_util,1,1,1,3,2,47
gpt-4-0613,0shot_util,1,1,1,4,2,48
gpt-4-0613,0shot_util,1,1,1,4,2,49
gpt-4-0613,0shot_cot_util,1,1,1,5,4,0
gpt-4-0613,0shot_cot_util,1,1,1,4,5,1
gpt-4-0613,0shot_cot_util,1,1,1,5,5,2
gpt-4-0613,0shot_cot_util,1,1,1,5,5,3
gpt-4-0613,0shot_cot_util,1,1,1,4,1,4
gpt-4-0613,0shot_cot_util,1,1,1,3,5,5
gpt-4-0613,0shot_cot_util,1,1,1,5,4,6
gpt-4-0613,0shot_cot_util,1,1,1,4,4,7
gpt-4-0613,0shot_cot_util,1,1,1,4,4,8
gpt-4-0613,0shot_cot_util,1,1,1,5,4,9
gpt-4-0613,0shot_cot_util,1,1,1,4,4,10
gpt-4-0613,0shot_cot_util,1,1,1,4,4,11
gpt-4-0613,0shot_cot_util,1,1,1,5,5,12
gpt-4-0613,0shot_cot_util,1,1,1,5,5,13
gpt-4-0613,0shot_cot_util,1,1,1,5,5,14
gpt-4-0613,0shot_cot_util,1,1,1,4,5,15
gpt-4-0613,0shot_cot_util,1,1,1,4,1,16
gpt-4-0613,0shot_cot_util,1,1,1,5,4,17
gpt-4-0613,0shot_cot_util,1,1,1,4,4,18
gpt-4-0613,0shot_cot_util,1,1,1,5,5,19
gpt-4-0613,0shot_cot_util,1,1,1,5,4,20
gpt-4-0613,0shot_cot_util,1,1,1,4,1,21
gpt-4-0613,0shot_cot_util,1,1,1,4,4,22
gpt-4-0613,0shot_cot_util,1,1,1,4,4,23
gpt-4-0613,0shot_cot_util,1,1,1,4,1,24
gpt-4-0613,0shot_cot_util,1,1,1,2,4,25
gpt-4-0613,0shot_cot_util,1,1,1,4,5,26
gpt-4-0613,0shot_cot_util,1,1,1,5,1,27
gpt-4-0613,0shot_cot_util,1,1,1,5,5,28
gpt-4-0613,0shot_cot_util,1,1,1,3,4,29
gpt-4-0613,0shot_cot_util,1,1,1,5,4,30
gpt-4-0613,0shot_cot_util,1,1,1,5,1,31
gpt-4-0613,0shot_cot_util,1,1,1,5,5,32
gpt-4-0613,0shot_cot_util,1,1,1,5,1,33
gpt-4-0613,0shot_cot_util,1,1,1,1,4,34
gpt-4-0613,0shot_cot_util,1,1,1,4,4,35
gpt-4-0613,0shot_cot_util,1,1,1,4,4,36
gpt-4-0613,0shot_cot_util,1,1,1,3,4,37
gpt-4-0613,0shot_cot_util,1,1,1,1,4,38
gpt-4-0613,0shot_cot_util,1,1,1,5,1,39
gpt-4-0613,0shot_cot_util,1,1,1,4,4,40
gpt-4-0613,0shot_cot_util,1,1,1,4,1,41
gpt-4-0613,0shot_cot_util,1,1,1,4,5,42
gpt-4-0613,0shot_cot_util,1,1,1,3,4,43
gpt-4-0613,0shot_cot_util,1,1,1,5,1,44
gpt-4-0613,0shot_cot_util,1,1,1,4,2,45
gpt-4-0613,0shot_cot_util,1,1,1,5,5,46
gpt-4-0613,0shot_cot_util,1,1,1,3,4,47
gpt-4-0613,0shot_cot_util,1,1,1,5,4,48
gpt-4-0613,0shot_cot_util,1,1,1,4,1,49
gpt-4-0613,0shot_util,1,1,0,5,2,0
gpt-4-0613,0shot_util,1,1,0,4,4,1
gpt-4-0613,0shot_util,1,1,0,5,2,2
gpt-4-0613,0shot_util,1,1,0,5,4,3
gpt-4-0613,0shot_util,1,1,0,5,2,4
gpt-4-0613,0shot_util,1,1,0,4,2,5
gpt-4-0613,0shot_util,1,1,0,5,2,6
gpt-4-0613,0shot_util,1,1,0,4,2,7
gpt-4-0613,0shot_util,1,1,0,3,2,8
gpt-4-0613,0shot_util,1,1,0,5,2,9
gpt-4-0613,0shot_util,1,1,0,4,2,10
gpt-4-0613,0shot_util,1,1,0,3,2,11
gpt-4-0613,0shot_util,1,1,0,5,4,12
gpt-4-0613,0shot_util,1,1,0,5,2,13
gpt-4-0613,0shot_util,1,1,0,5,4,14
gpt-4-0613,0shot_util,1,1,0,4,2,15
